VendorName,SectionName,ContrrolName,SecurityQuestions,SolutionResponse,SolutionComments,Most Relevant Responses,Keywords for Most Relevant
CORL,Required Evidence,Audit and Accountability,Provide Audit log policy and procedures,,Please see "Prognos SOP - Virtual Clean Room",,
CORL,Required Evidence,Baseline Configuration,"Provide the most recent Baseline Configuration document for the information system (e.g., hardening procedures for Window OS, baseline security settings for sever AND application builds.) ",,Please see "Prognos SOP - Virtual Clean Room",,
CORL,Required Evidence,Configuration Change Control,Configuration Change Control procedures,,Please see "Prognos SOP - Agile Software Development Lifecycle",,
CORL,Required Evidence,Access Restrictions for Change  ,Configuration Change Control procedures,,Please see "Prognos SOP - Agile Software Development Lifecycle",,
CORL,Required Evidence,Configuration Settings  ,"Provide report monitoring records related to most recent changes to the Configuration settings information system 
",,Please see documents in folder labeled "VCR March_2019",,
CORL,Required Evidence,Least Functionality,(See CM 2.1 - Most recent Baseline Configuration),,Please see "Prognos SOP - Virtual Clean Room",,
CORL,Required Evidence,Information System Component Inventory  ,Provide documentation that demonstrates information system Component Inventory is maintained and kept up to date.,,Please see file "ITAM -1.pdf" for screenshot of the inventory system,,
CORL,Required Evidence,Configuration Management Plan,"Provide Software Development/Deployment Life Cycle (SDLC) documentation which includes secure coding procedures, where applicable.",,Please see "Prognos SOP - Agile Software Development Lifecycle",,
CORL,Required Evidence,Software Usage Restrictions  ,Provide Acceptable Use policy. Provide samples of software licensing documentation.,,Please see "Prognos Policy - Acceptable Use",,
CORL,Required Evidence,User-Installed Software,Provide documentation that demonstrates unapproved software is prohibited from use on the information system. Provide evidence of any mechanisms that prevent unapproved software from being used. ,,"Please see""22_EPP Device Logs Report 03.2019"" contained in the ""VCR March_2019"" folder
",,
CORL,Required Evidence,Authenticator Management,"Provide Password policy and procedures, including length and complexity requirements as well as process initial password distribution and changing of factory defaults.",,Please see "Prognos SOP - Passphrase Management",,
CORL,Required Evidence,Non-local Maintenance,Provide policy and procedures surrounding secure remote support of the information system.,,Network support for BHI is not provided by Prognos,,
CORL,Required Evidence,Vulnerability Scanning,"Provide Vulnerability Management procedures and copy of the most recent vulnerability scans of all systems which process, transmit, or store client data",,Please see "Prognos SOP - Patch and Vulnerability Management and Penetration Testing Program",,
CORL,Required Evidence,Security Assessments,Provide documentation of the organizations security assessment plan,,Please see "Prognos Policy - Risk Management",,
CORL,Required Evidence,System Interconnections,"Provide policy and procedures for system interconnections, including security requirements for interconnections, permissable inforamtion types, connection types, how data is transmitted, and how data is stored securely in interconnected/external systems.",,Please see "Prognos SOP - Virtual Clean Room",,
CORL,Required Evidence,Continuous Monitoring,Provide documentation to support a continuous monitoring strategy/program.,,Please see "Prognos SOP - Virtual Clean Room",,
CORL,Required Evidence,Penetration Testing,Provide Penetration Testing Policy and Procedures,,Please see "Prognos SOP - Patch and Vulnerability Management and Penetration Testing Program",,
CORL,Required Evidence,Collaborative Computing Devices,Provide hardware configuration specifications that demonstrate remote activation of collaborative computing devices are prohibited,,Prognos does not utilize collabrative computing devices,,
CORL,Required Evidence,Encryption,Provide Encryption policy and procedures for information in transit and information at rest.,,Please see "Prognos SOP - Encryption and Key Management",,
CORL,Required Evidence,Mobile Code,Provide Communications Protection policy and Mobile Code Implementation policy,,Prognos does not have or use mobile code or mobile apps,,
CORL,Required Evidence,Flaw Remediation,Provide documentation that all identified vulnerabilities are remediated in a timely manner.,,Please see "Prognos Policy - Risk Management",,
CORL,Required Evidence,Malicious Code Protection,"Provide evidence that malware protection solutions are implemented on servers, workstations, and all other end points that process, transmit, or store client data.",,"Please see""09_OSQuery ClamXAV Running Check.png"" contained in the ""VCR March_2019"" folder
",,
CORL,Required Evidence,Information Systems Monitoring,Provide evidence that intrusion detection and intrusion prevention solutions are implemented and monitored.,,"Please see""01_EPP Dashboard.png"" contained in the ""VCR March_2019"" folder
",,
CORL,Required Evidence,"Software, Firmware, and Information Integrity","Provide evidence that information integrity tools are used. (e.g., tripwire)",,"Please see""13_OSQuery FileVault Encryption Check.png"" contained in the ""VCR March_2019"" folder
",,
CORL,Required Evidence,Spam Protection,Provide documentation that spam protection mechanisms are employed at information system entry/exit points and are updated when new releases of such mechanisms are available. ,,Please see "Prognos SOP - Virtual Clean Room",,
CORL,Required Evidence,Acquisition Process,Please provide Vendor Management Policy/ Procedures,,Outside of our data storage vendors (AWS/ClearDATA) Prognos does not utilize vendors for PHI business ,,
CORL,Required Evidence,Supply Chain Protection,Please provide Vendor Management Policy/ Procedures,,,,
CORL,Required Evidence,Incident Response Plan,"Is there a comprehensive Incident Response Plan? If so, please attach.",,Please see "Prognos SOP - Cyber Security & Privacy Incident Management Program" and "Prognos Policy - Incident Response",,
CORL,Access Control,Access Control Policy and Procedures,"Are there formally documented policies and procedures for access control? If yes, please attach.",Yes,,,
CORL,Access Control,Account Management,"Do you have a process for managing accounts, including - creating, modifying, monitoring, and deleting/disabling accounts?",Yes,,,
CORL,Access Control,Account Management,"Are accounts reviewed on a periodic basis?  If yes, include timeframe in comment.",Yes,,,
CORL,Access Control,Account Management,"Have all guest, shared (other than Admin/Root), or group accounts been removed or disabled?",Yes,,,
CORL,Access Control,Account Management,"Are account managers notified when accounts are no longer required, when users are terminated or transferred, or when individual access requirements change?",Yes,,,
CORL,Access Control,Account Management,Is approval from an authorized signer required before provisioning accounts?  ,Yes,,,
CORL,Access Control,Access Enforcement,"Does the information system verify the rights of a user to access the information system? (Access Control Lists, Group/Role membership?) If yes, detail how the access is enforced in the comment. ",Yes,,,
CORL,Access Control,Access Enforcement,Does the information system support role-based account management and access controls (RBAC)? ,Yes,,,
CORL,Access Control,Access Enforcement,"If RBAC is supported, can a customer administrator create/customize unique roles and permissions.",,,,
CORL,Access Control,Information Flow Enforcement,"Is the flow of sensitive information secured between interconnected systems? (Firewall rule sets - iptables, proxies, encrypted tunnels.)",Yes,,,
CORL,Access Control,Separation of Duties,"Is separation of duties implemented? (E.g., Mission functions and support functions divided among personnel, different administrative accounts for different roles.)",Yes,,,
CORL,Access Control,Least Privilege,"Is least privilege employed? (I.e., must administrators switch to the root or a separate administrator account to perform administrative functions/make system changes?)",Yes,,,
CORL,Access Control,Unsuccessful Logon Attempts,"Is an account automatically locked out after a set amount of attempts? If yes, please provide the number of failed attempts that trigger an account to be locked out, in the comments section.",Yes,,,
CORL,Access Control,System Use Notification,Is there a system use notification displayed before granting access that provides privacy and security notices?,Yes,,,
CORL,Access Control,Previous Logon Notification,Does the system display the last user logon date and time to the user?,Yes,,,
CORL,Access Control,Concurrent Session Control,Does the system limit the number of concurrent sessions for the user?,No,,,
CORL,Access Control,Session Lock,Does the application/system have a session lock after a period of inactivity that requires a user to reauthenticate?,Yes,,,
CORL,Access Control,Session Termination,Does the application/system terminate the session after predefined circumstances?,No,,,
CORL,Access Control,"Permitted Actions without Identification or
Authentication",Does the system prevent user actions that can be performed on the system without identification and authentication?,Yes,,,
CORL,Access Control,Security Attributes,Is protected health information identified as such with access only provided to authorized personnel?,Yes,,,
CORL,Access Control,Remote Access,Is remote access allowed from outside the network only through the use of the VPN client?,Yes,,,
CORL,Access Control,Remote Access,Are there established and documented usage restrictions for those connections?,Yes,,,
CORL,Access Control,Remote Access,Is remote access to the information system authorized prior to allowing such connections? ,Yes,,,
CORL,Access Control,Wireless Access,"Does the information system and/or associated device allow wireless access and only connect to secure networks? (Network access, Bluetooth, infrared, etc.) ",Yes,,,
CORL,Access Control,Access Control for Mobile Devices,"Can users or administrators connect using mobile devices (i.e. iPad, Smart Phone, PDAs)?",No,,,
CORL,Access Control,Access Control for Mobile Devices,Are there established and documented usage restrictions for those connections?,Yes,,,
CORL,Access Control,Access Control for Mobile Devices,Is remote access to the information system authorized prior to allowing such connections? ,N/A,,,
CORL,Access Control,Use of External Information Systems,"Does the information system have any trust relationships with external environments?  (E.g., interconnection agreements with third parties.)",Yes,,,
CORL,Access Control,Use of External Information Systems,"Are there established terms and conditions to access, process, store, or transmit organizational information using their systems? ",Yes,,,
CORL,Access Control,Information Sharing,Does the organization facilitate information sharing by enabling authorized users to determine whether access authorizations assigned to the sharing partner match the access restriction on the information for the user?,No,,,
CORL,Access Control,Publicly Accessible Content,Is there any publicly accessible information? ,Yes,,,
CORL,Access Control,Publicly Accessible Content,Are designated individuals trained to post and review information on the publicly accessible site?,Yes,,,
CORL,Awarness and Training,"Security Awareness and Training Policy and
Procedures","Are there formally documented procedures for security awareness and training for this information system? If yes, please attach.",Yes,Please see "Prognos Policy - Security Awareness and Roles",,
CORL,Awarness and Training,Security Awareness,Is basic security awareness training performed for all personnel as a part of the onboarding process? ,Yes,Comment is required,,
CORL,Awarness and Training,Security Awareness,Is it periodically performed for all users?,Yes,Comment is required,,
CORL,Awarness and Training,Role-Based Security Training,Is there role-based security training for personnel with assigned security roles and responsibilities for this information system before access is granted and when required by information system changes?,Yes,Comment is required,,
CORL,Awarness and Training,Security Training Records,Do you document and monitor information system security training activities for individuals?,Yes,Comment is required,,
CORL,Account and Accountabilty,"Audit and Accountability Policy and
Procedures","Are there formally documented audit and accountability procedures for this information system? If yes, please attach.",Yes,Please see "Prognos SOP - Virtual Clean Room",,
CORL,Account and Accountabilty,Audit Events,"Is the information system actively auditing events such as access to patient information, login/logoffs, account creation, etc.? If yes, please detail the events captured in the comment.",Yes,The access logs will be monitored which will cpature login and log off information. Access to patient information events are captured to logs file,,
CORL,Account and Accountabilty,Audit Events,Are the audit logs captured sufficient for incident response and system and user performance/investigation?,Yes,Comment is required,,
CORL,Account and Accountabilty,Content of Audit Records,"Does the system create audit records that contain sufficient information to, at a minimum, establish what type of event occurred, when the event occurred, where the event occurred, the source of the event, the outcome (success or failure) of the event, and the identity of any user/subject associated with the event?",Yes,Comment is required,,
CORL,Account and Accountabilty,Audit Storage Capacity,Have you evaluated the audit storage capacity of this information system and determined that it is adequate?,Yes,Comment is required,,
CORL,Account and Accountabilty,Response to Audit Processing Failures,Does the information system generate an alert that notifies the team in the event of an audit processing failure?,Yes,Comment is required,,
CORL,Account and Accountabilty,"Audit Review, Analysis, and Reporting",Do you review the audit logs for indications of inappropriate or unusual activity and report those incidents to authorized personnel?,Yes,Comment is required,,
CORL,Account and Accountabilty,Audit Reduction and Report Generation,Does the information system provide the capability to generate customizable audit reports?,Yes,Comment is required,,
CORL,Account and Accountabilty,Audit Reduction and Report Generation,Does the generation of an audit report alter the original content or time stamp of the audit record?,Yes,Comment is required,,
CORL,Account and Accountabilty,Time Stamps,Are the audit logs time stamped? (Date and Time),Yes,Comment is required,,
CORL,Account and Accountabilty,Protection of Audit Information,"Does the system/application protect audit information from unauthorized access, modification, and deletion?",Yes,Comment is required,,
CORL,Account and Accountabilty,Audit Record Retention,Does the information system retain audit records in accordance with implemented policies? ,Yes,Comment is required,,
CORL,Account and Accountabilty,Audit Generation,Can the information system be configured to select which auditable events are captured in the audit log? ,Yes,Comment is required,,
CORL,Security Assessment,Security Assessment and Authorization Policies and Procedures,"Are there formally documented policies and procedures for Security Assessments and Authorizations? If yes, please attach.",Yes,"""Please refer to the following documents . 1) Prognos Policy - Risk Management.pdf
",,
CORL,Security Assessment,Security Assessments,"Has the scope of the security assessment plan been addressed, and does it cover specific security controls and enhancements?
",Yes,Comment is required,,
CORL,Security Assessment,Security Assessments,"Are interconnection security agreements documented? (e.g. interface characteristics, security requirements, data types transmitted)
",Yes,Comment is required,,
CORL,Security Assessment,Security Assessments,"Are these connections monitored for compliance with the agreements?
",Yes,Comment is required,,
CORL,Security Assessment,System Interconnections,Does this information system interface with any other information system? ,No,Comment is required,,
CORL,Security Assessment,System Interconnections,Are the interfaces that interconnect with this information system documented?,No,Comment is required,,
CORL,Security Assessment,System Interconnections,Is there documentation on what information is communicated through that interface and what the security requirements are?,Yes,Comment is required,,
CORL,Security Assessment,Plan of Action and Milestones,Have previous assessment results been used to mitigate identified risks?,Yes,Comment is required,,
CORL,Security Assessment,Security Authorization,"Is there an authorizing official for this environment? Can they decide if an environment is turned off if necessary?
",Yes,Comment is required,,
CORL,Security Assessment,Security Authorization,"Have assessments been officially signed off? By whom?
",Yes,Chief Security Officer,,
CORL,Security Assessment,Continuous Monitoring,Is there a continuous monitoring strategy? What metrics are used to ensure compliance?,Yes,"As a part of continuous monitoring, monthly audits are performed on virtual clean room systems and cleardata evidences whichh are stored for further reference. The audit evidences are checked for non compliance as a corrective action a ticket is raised and followed up till clousure.",,
CORL,Security Assessment,Continuous Monitoring,Are continuous monitoring results analyzed?,Yes,Comment is required,,
CORL,Security Assessment,Continuous Monitoring,Are security controls monitored for compliance? What actions are taken if components are deemed non-compliant?,Yes,"As a part of continuous monitoring, monthly audits are performed on virtual clean room systems and cleardata evidences which are stored for further reference. The audit evidences are checked for non compliance as a corrective action a ticket is raised and followed up till clousure.",,
CORL,Security Assessment,Continuous Monitoring,Are the results of continuous monitoring reported to an authorizing official?,Yes,Comment is required,,
CORL,Security Assessment,Penetration Testing,Does your organization do penetration testing on internal networks?,No,Comment is required,,
CORL,Security Assessment,Internal System Connections,"Is there a device or component that is uniquely used with this system? (E.g., biomedical devices used particularly with this information system).",No,Comment is required,,
CORL,Security Assessment,Internal System Connections,"Is there documentation on what information is communicated with that device, how it is transferred, and how the data is secured?",No,Comment is required,,
CORL,Configuration,Least Functionality,"Do you restrict or prohibit the use of any functions, ports, protocols and/or services that are not essential to the function of the information system? ",Yes,Comment is required,,
CORL,Configuration,Information System Component Inventory,Do you have an accurate and current documented inventory of the components within the information system?,Yes,Comment is required,,
CORL,Configuration,,"If yes, do you review and update the information system component inventory regularly?",Yes,Comment is required,,
CORL,Configuration,Configuration Management Plan,"Does the organization develop, document, and implement a configuration management plan for the information system that addresses roles, responsibilities and configuration management processes and procedures?",Yes,Comment is required,,
CORL,Configuration,,Does the organization establish a process for identifying configuration items throughout the system development life cycle?,Yes,Comment is required,,
CORL,Configuration,,Does the organization define configuration items for the information system?,Yes,Comment is required,,
CORL,Configuration,,Does the organization protect the configuration management plan for unauthorized disclosures and modifications?,Yes,Comment is required,,
CORL,Configuration,Software Usage Restrictions,Is software usage in accordance with contract agreements and copyright laws?,Yes,Comment is required,,
CORL,Configuration,User-Installed Software,Is user installation of software restricted and monitored?,Yes,Comment is required,,
CORL,Configuration,Patch Timeliness,"Are patches applied to the information system in a timely manner? If so, how quickly are patches applied?",Yes,For clear data to patch the systems should not be greater than 30 days old,,
CORL,Configuration,Patch Timeliness Policy,Are there standards or policies which define the timing of patching the information system?,Yes,Comment is required,,
CORL,Configuration,Patch Management Environments,"Do you use Development, Test, QA, and Production environments during the patch management process? If so, describe the manner in which these environment are utilized?",No,We have very few long running machines. Most machines are spun up on demand. We use AWS/ClearDATA as a service for patching (which is managed by AWS/ClearDATA),,
CORL,Configuration,Patch Classification,"Do you categorize patches based on severity? If yes, please provide the categories, their definitions, and the associated time frames for deploying patches to production environments.",No,We have very few long running machines. Most machines are spun up on demand. We use AWS/ClearDATA as a service for patching (which is managed by AWS/ClearDATA),,
CORL,Configuration,,Do you implement patches categorized as "critical" within 72 hours of patch release?,No,We have very few long running machines. Most our spun up on demand. We use AWS/ClearDATA as a service for patching (they manage).,,
CORL,Contingency Planning,"Contingency Planning Policy and
Procedures","Are there formally documented policies and procedures for Contingency Plan? If yes, please attach.",Yes,Please see "Prognos Policy - Disaster Recovery" and "Prognos Policy - Incident Response" and "Prognos SOP - Cyber Security & Privacy Incident Management Program",,
CORL,Contingency Planning,Contingency Plan,"Have you developed a contingency plan for this information system? If yes, please attach.",Yes,We have a disaster recovery policy which adressses the Contingency plan ,,
CORL,Contingency Planning,,"Does the contingency plan:
- Identify the essential missions and business functions 
- Provide recovery objectives, restoration priorities, and metrics
- Address contingency roles, responsibilities, and assigned individuals with contact information 
- Address maintaining essential missions and business functions despite a disruption
- Address full restoration without deterioration of originally implemented security safeguards
- Distributed to key personnel
- Coordinated with incident handling procedures
- Reviewed and updated to address changes 
- Protected from unauthorized disclosure or modification",Yes,"We also have a Business continuity Plan which address all the mission critical functions, recovery objecctives and Roles and responsibilities invoking the BCP. This document is reviewed annualy and distributed to the key personnels.  We do not provide copies of our BCP outside of the company but we are happy to schedule a call or webex to walk through",,
CORL,Contingency Planning,Contingency Training,Does your department train personnel in their contingency roles and responsibilities and provide refresher training when required?,Yes,Comment is required,,
CORL,Contingency Planning,Contingency Plan Testing,Do you test and/or exercise the contingency plan periodically to determine the plan’s effectiveness and review the contingency plan test results to initiate any needed corrective actions?,Yes,Comment is required,,
CORL,Contingency Planning,Alternate Storage Site,Has your department established an alternate storage site including necessary agreements to permit the storage and recovery of information system backup information?,No,,,
CORL,Contingency Planning,,Does the alternate storage site provide information security safeguards equivalent to that of the primary site?,N/A,,,
CORL,Contingency Planning,Alternate Processing Site,Has your department established an alternate processing site to permit the resumption of information system operations for essential missions and business functions when the primary processing capabilities are unavailable?,Partial,We use Google Cloud Platform as a back-up but we do not use it for PHI yet.,,
CORL,Contingency Planning,,Does the alternate processing site provide information security safeguards equivalent to that of the primary site?,Yes,Comment is required,,
CORL,Contingency Planning,Telecommunications Service,"Are there alternate forms of telecommunication available should primary means (e.g. email, cellular phone) be unavailable?",Yes,Comment is required,,
CORL,Contingency Planning,Information System Backup,"Is user-level information, system-level information, and information system documentation backed up?",Yes,Comment is required,,
CORL,Contingency Planning,,"Is the confidentiality, integrity, and availability of backup information protected at the storage location?",Yes,Comment is required,,
CORL,Contingency Planning,"Information System Recovery and
Reconstitution","Is there recovery and reconstitution of the information system to a known state after a disruption, compromise, or failure?",Yes,Comment is required,,
CORL,Incident Response ,Incident Response Policies and Procedures ,"Are there formally documented policies and procedures for Incident Response? If yes, please attach.",Yes,Please see "Prognos SOP - Cyber Security & Privacy Incident Management Program" and "Prognos Policy - Incident Response",,
CORL,Incident Response ,Incident Response Training,Are staff provided with incident response training?,Yes,Comment is required,,
CORL,Incident Response ,,Is incident response training unique based on the role of the individual?,Yes,Comment is required,,
CORL,Incident Response ,Incident Response Testing and Exercises,Are incident response tests conducted?,Yes,Comment is required,,
CORL,Incident Response ,,Are the incident response test results analyzed?,Yes,Comment is required,,
CORL,Incident Response ,Incident Handling,Is there an incident handling process,Yes,Comment is required,,
CORL,Incident Response ,,Are incident handling activities coordinated with contingency planning activities?,Yes,Comment is required,,
CORL,Incident Response ,Incident Monitoring,Are security incidents tracked and documented?,Yes,Comment is required,,
CORL,Incident Response ,Incident Reporting,Are security incidents timely reported to appropriate personnel/ government authorities?,Yes,Comment is required,,
CORL,Incident Response ,Incident Response Assistance,Are incident response resources used outside of the incident response team?,Yes,Comment is required,,
CORL,Incident Response ,Incident Response Plan,"Is there a comprehensive Incident Response Plan? If so, please attach.",Yes,Comment is required,,
CORL,Incident Response ,Information Spillage Response,Does the organization respond to information spillage appropriately and timely?,Yes,Comment is required,,
CORL,Authentication&Authorization,Identification and Authentication Policy and Procedures,"Does the application/system use managed LDAP services for identification and authentication? If no, detail in the comment column what is used.",No,"There is no external systems access. For internal access we use MFA, least privilege, and a specific configuration for access to the Virtual Cleanroom.",,
CORL,Authentication&Authorization,Identification and Authentication Policy and Procedures,"Are there formally documented policies and procedures for Identification and Authentication? If yes, please attach.",Yes,"Please refer to this documentation
1) Prognos SOP_ Virtual Clean Room.pdf
2) Prognos SOP_ User Access Management Procedure.pdf
3) Prognos Policy - Information Classification and Handling.pdf","Please refer to this documentation
1) Prognos SOP_ Virtual Clean Room.pdf
2) Prognos SOP_ User Access Management Procedure.pdf
3) Prognos Policy - Information Classification and Handling.pdf",
CORL,Authentication&Authorization,"Identification and Authentication
(Organizational Users)","Does the information system use multifactor authentication for privileged or non-privileged access? (Uses at least two of: what you have, what you know, what you are.  E.g., tokens, passwords, biometrics.)",Yes,"Yes it uses MFA the first factor is passwword and the second factor is tokens (Something you know, something you have)","Yes it uses MFA the first factor is passwword and the second factor is tokens (Something you know, something you have)",
CORL,Authentication&Authorization,Device Identification and Authentication,"Does the information system uniquely identify and authenticate devices before establishing a connection? (E.g., MAC, TCP/IP, IEEE 802.1x)",Yes,Comment is required,Comment is required,
CORL,Authentication&Authorization,Identifier Management,Do you manage the information system identifiers for users and devices by requiring authorization by an authorized signer prior to assigning an identifier?,Yes,Comment is required,Comment is required,
CORL,Authentication&Authorization,Identifier Management,Does the application/system prevent reuse of user or device identifiers?,Yes,Comment is required,Comment is required,
CORL,Authentication&Authorization,Identifier Management,Does the application/system disable the user or device account after a pre-defined period of inactivity?,Yes,Comment is required,Comment is required,
CORL,Authentication&Authorization,Authenticator Management,Does the application/system comply with the password complexity as outlined in implemented policies? ,Yes,Comment is required,Comment is required,
CORL,Authentication&Authorization,Authenticator Management,"Does information system force the End User to comply with the following password requirements regarding complexity, length and change?
- Passwords at least 8 characters in length.
- Passwords contain the following:
- Mixed case alpha characters
- at least one numeric digit
- at least one non-alphanumeric character
- Current password may not be reused
- Do current passwords expire every 90 days? 
- Are passwords stored in an encrypted format?",Yes,Comment is required,Comment is required,
CORL,Authentication&Authorization,Authenticator Management,Are the passwords encrypted within the information system when stored or transmitted?,Yes,Comment is required,Comment is required,
CORL,Authentication&Authorization,Authenticator Management,Are factory default passwords changed once implemented into production? (Admin/root passwords.),Yes,Comment is required,Comment is required,
CORL,Authentication&Authorization,Authenticator Management,Is the identity of the individual or device verified as part of the initial password distribution process?,Yes,Comment is required,Comment is required,
CORL,Authentication&Authorization,Authenticator Management,Are there administrative procedures for initial password distribution and for revoking access?,Yes,Comment is required,Comment is required,
CORL,Authentication&Authorization,Authenticator Management,Is authenticator content protected from unauthorized disclosure and modification?,Yes,Comment is required,Comment is required,
CORL,Authentication&Authorization,Authenticator Management,Are passwords for group/role accounts changed when membership to those accounts change?,Yes,Comment is required,Comment is required,
CORL,Authentication&Authorization,Authenticator Management,Is token-based authentication required?,Yes,Comment is required,Comment is required,
CORL,Authentication&Authorization,Authenticator Feedback,Does the information system obscure the authenticator/password during the authentication process?,Yes,Comment is required,Comment is required,
CORL,Authentication&Authorization,Cryptographic Module Authentication,Does the information system use mechanisms for authentication to a cryptographic module? (This control is used for mostly operating systems and appliances used to encrypt something.),Yes,Comment is required,Comment is required,
CORL,Authentication&Authorization,Identification and Authentication (Non- Organizational Users),"Does the information system uniquely identify and authenticate non-organizational users (such as vendors)? (I.e., do the vendors have unique accounts instead of a shared account to gain access?)",Yes,Prognos prohibits the use of generic or shared accounts,Prognos prohibits the use of generic or shared accounts,
CORL,Authentication&Authorization,"Does the information system uniquely identify and authenticate non-organizational users (such as vendors)? (I.e., do the vendors have unique accounts instead of a shared account to gain access?)",Yes,Prognos prohibits the use of generic or shared accounts,,,
CORL,Maintenance,System Maintenance Policy and Procedures,"Are there formally documented policies and procedures for Maintenance? If yes, please attach.",Yes,"""Please refer to the following documents . 1) Prognos Procedures - System Integrity.pdf
",,
CORL,Maintenance,Controlled Maintenance,"Are maintenance and repairs on the information system scheduled, performed, documented, and reviewed?",Yes,The information security committee team will approve  maintenance and repairs on the system They are reviewed every week.,,
CORL,Maintenance,,Do you approve and monitor all maintenance activities?,Yes,The information security committee team will approve and monitor maintenance activity,,
CORL,Maintenance,,Is management's approval required for the removal of the information system or its components for off-site maintenance and repairs?,Yes,"Change control procedures are followed for all operational systems, which may hold only approved programs or executable code (i.e. no development code or compilers). The updating of the operational software, applications, and program libraries is performed by authorized administrators.",,
CORL,Maintenance,,"Do you sanitize equipment to remove all information from associated media (e.g., hard drives) prior to removal from the facilities for off-site maintenance or repairs?",N/A,PHI is only stored on the cloud.  It cannot be downloaded onto machines or printed.,,
CORL,Maintenance,,"Do you check all potentially impacted security controls to verify that the controls are still functioning properly following maintenance or repair actions? (E.g., verify that audit logs are still functioning properly, user level of access is still appropriate.)",Yes,Comment is required,,
CORL,Maintenance,Maintenance Tools,"Does the organization approve, control and monitor information system maintenance tools?",Yes,Comment is required,,
CORL,Maintenance,Nonlocal Maintenance,"Is any nonlocal maintenance and diagnostic activity performed on the information system  (such as across the network, either internal or external, using terminal services/RDP)?",Yes,Comment is required,,
CORL,Maintenance,,Are all nonlocal maintenance and diagnostic activities approved and monitored?,Yes,Comment is required,,
CORL,Maintenance,,Are strong authenticators/passwords used in the establishment of nonlocal maintenance and diagnostic sessions?,Yes,Comment is required,,
CORL,Maintenance,,Do you maintain records for nonlocal maintenance and diagnostic activities?,Yes,Comment is required,,
CORL,Maintenance,,Are the sessions and network connections terminated after the nonlocal maintenance has been completed?,Yes,Comment is required,,
CORL,Maintenance,Maintenance Personnel,Do you authorize and maintain a list of authorized maintenance personnel?,Yes,Comment is required,,
CORL,Maintenance,,Do you ensure that personnel performing maintenance of the information system have the required access authorizations?,Yes,Comment is required,,
CORL,Maintenance,,"If personnel without the required access authorizations are allowed to perform maintenance activities (a vendor), are they supervised by authorized organizational personnel?",N/A,We do not own any productioon hardware. Laptops etc. are sanitized prioir to any maintenance that is not performed by authorized organizational personnel,,
