VendorName,SectionName,Contrrol Name,SecurityQuestions,SolutionResponse,SolutionComments,Most Relevant Responses,Keywords for Most Relevant
SIG Lite,Lite,Operations Management,"Is there an operational change management/change control policy or program that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy?",Yes,,,
SIG Lite,Lite,Operations Management,Are backups of Scoped Systems and Data performed?,No,All Scoped Data is stored using AWS and ClearData.  We rely on S3 redundancy,,
SIG Lite,Lite,Operations Management,"Are Cloud Services provided? If yes, what service model is provided (select all that apply):",No,,,
SIG Lite,Lite,Operations Management,Software as a Service (SaaS)?,No,,,
SIG Lite,Lite,Operations Management,Infrastructure as a Service (IaaS)?,No,,,
SIG Lite,Lite,Operations Management,Private cloud?,No,,,
SIG Lite,Lite,Operations Management,Public cloud?,No,,,
SIG Lite,Lite,Operations Management,Community cloud?,No,,,
SIG Lite,Lite,Operations Management,Hybrid cloud?,No,,,
SIG Lite,Lite,Operations Management,Is there a client management portal which allows distributed business accounts (business units/departments) to be managed under a single central corporate account?,No,,,
SIG Lite,Lite,Operations Management,Are application self service features or an Internet accessible self-service portal available to clients?,No,,,
SIG Lite,Lite,Operations Management,Can clients run their own security services within their own cloud environment?,No,,,
SIG Lite,Lite,Operations Management,Is there a management approved process to ensure that image snapshots containing Scoped Data are authorized prior to being snapped?,Yes,No ad hoc snapshots are taken. We do take daily backup snapshots which may contain Scoped Data.  These snapshots are pre-approved / authorized by management.  We hold on to backup snapshots for 30 days.,,
SIG Lite,Lite,Operations Management,"Is there a formal process to ensure clients are notified prior to changes being made which may impact their service? If yes, what is the communication method:",Yes,,,
SIG Lite,Lite,Operations Management,"Is there a scheduled maintenance window? If yes, what is the frequency:",No,We don't provide a maintenance window because our internal process absorbs any client facing impact.,,
SIG Lite,Lite,Operations Management,"Is there a scheduled maintenance window which results in client downtime? If yes, what is the downtime:",No,,,
SIG Lite,Lite,Operations Management,"Is there an online incident response status portal, which outlines planned and unplanned outages? If yes, how long after an unplanned outage is this updated:",No,,,
SIG Lite,Lite,Access Control,"Are electronic systems used to transmit, process or store Scoped Systems and Data?",Yes,,,
SIG Lite,Lite,Access Control,"Are individual IDs required for user authentication to applications, operating systems, databases and network devices?",Yes,,,
SIG Lite,Lite,Access Control,Are passwords used?,Yes,,,
SIG Lite,Lite,Access Control,"Is there a password policy for systems that transmit, process or store Scoped Systems and Data that has been approved by management, communicated to constituents, and enforced on all platforms?",Yes,,,
SIG Lite,Lite,Access Control,Is remote access permitted?,Yes,,,
SIG Lite,Lite,Access Control,"Is standards based federated ID capability available to clients (e.g., SAML, OpenID)?",No,,,
SIG Lite,Lite,Access Control,Is two factor authentication required to access the production environment containing Scoped Data?,Yes,,,
SIG Lite,Lite,Access Control,"Are staff able to access client Scoped Data? If not, please identify the controls used to prevent this.",Yes,,,
SIG Lite,Lite,Access Control,Is there a process which allows the client to specifically list who from the provider will have access to their Scoped Systems and Data?,N/A,Lab data providers only have access to the SFTP where they drop data. No other access is permitted. Deliverables are available only directly for the client.,,
SIG Lite,Lite,Application Security,"Are applications used to transmit, process or store Scoped Data?",Yes,,,
SIG Lite,Lite,Application Security,"Is a web site supported, hosted or maintained that has access to Scoped Systems and Data?",No,,,
SIG Lite,Lite,Application Security,"Are Web Servers used for transmitting, processing or storing Scoped Data? If yes, for all server platforms is/are:",No,,,
SIG Lite,Lite,Application Security,Is HTTPS enabled for all web pages used as part of the scoped service?,N/A,There are no web pages utilized for the Scoped Services,,
SIG Lite,Lite,Application Security,All available high-risk security patches applied and verified at least monthly?,Yes,,,
SIG Lite,Lite,Application Security,Are third party alert services used to keep up to date with the latest vulnerabilities?,Yes,,,
SIG Lite,Lite,Application Security,Events relevant to supporting incident investigation regularly reviewed using a specific methodology to uncover potential incidents?,Yes,,,
SIG Lite,Lite,Application Security,"Operating system and application logs relevant to supporting incident investigation protected against modification, deletion, and/or inappropriate access?",Yes,,,
SIG Lite,Lite,Application Security,Is application development performed?,No,While Prognos performs application development.  There is no development within the scope of services offered to client,,
SIG Lite,Lite,Application Security,"Is there a secure software development lifecycle policy (including mobile software applications) that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy?",No,,,
SIG Lite,Lite,Application Security,"Is development, test, and staging environment separate from the production environment? If so, how are they segmented:",Yes,,,
SIG Lite,Lite,Application Security,Is there a formal Software Development Life Cycle (SDLC) process?,Yes,,,
SIG Lite,Lite,Application Security,Are change control procedures required for all changes to the production environment?,Yes,,,
SIG Lite,Lite,Application Security,"Is Scoped Systems and Data ever used in the test, development, or QA environments? If yes, is:",No,We do not use data containing PHI in any environment except Production".,,
SIG Lite,Lite,Application Security,"Is there a documented change management / change control process? If yes, does it include:",Yes,We do have access to logs for all system-level changes that ClearDATA makes to our PROD servers. And we keep a history of product changes / improvements in JIRA. We also have snapshots of code / data for every major release.,,
SIG Lite,Lite,Application Security,"Are compilers, editors or other development tools present in the production environment?",No,Our modules do not require a compiler. We do not host any dev tools in production.,,
SIG Lite,Lite,Application Security,Is a secure code review performed at least annually?,Yes,We have automated systems that verify that no one has inserted any malicious code (or recklessly poor code from a security perspective). We perform code reviews routinely as well.,,
SIG Lite,Lite,Application Security,Is each release subject to a full secure code review?,No,We use the system/process outlined above.,,
SIG Lite,Lite,Application Security,Are applications analyzed on a regular basis to determine their vulnerability against recent attacks?,Yes,,,
SIG Lite,Lite,Application Security,"Is there a formal development methodology in operation? If yes, which groups does it include?:",Yes,We use a DevOps practice. Only this single group are included.,,
SIG Lite,Lite,Application Security,Are mobile applications that access Scoped Systems and Data developed?,No,,,
SIG Lite,Lite,Application Security,"Is there an Incident Management Program that has been approved by management, communicated to constituents and an owner to maintain and review the program? If yes, does the program include:",Yes,,,
SIG Lite,Lite,Application Security,Privacy Incidents?,Yes,,,
SIG Lite,Lite,Application Security,Is there a formal Incident Response Plan?,Yes,,,
SIG Lite,Lite,Application Security,Is there a 24x7x365 staffed phone number available to clients to report security incidents?,No,Incidents can be reported 24/7 to a dedicated slack channel.  We also have a third party operated anonymous reporting hotline.,,
SIG Lite,Lite,Business Resiliency,Is there an established Business Resiliency program that has been approved by management and communicated to appropriate constituents?,Yes,,,
SIG Lite,Lite,Business Resiliency,Has a Business Impact Analysis been conducted?,Yes,,,
SIG Lite,Lite,Business Resiliency,Is there a formal process focused on identifying and addressing risks of disruptive incidents to the organization?,Yes,,,
SIG Lite,Lite,Business Resiliency,Are specific response and recovery strategies defined for the prioritized activities?,Yes,,,
SIG Lite,Lite,Business Resiliency,Are formal business continuity procedures developed and documented?,Yes,,,
SIG Lite,Lite,Business Resiliency,Has senior management assigned the responsibility for the overall management of the response and recovery efforts?,Yes,,,
SIG Lite,Lite,Business Resiliency,Is there a periodic (at least annual) review of your Business Resiliency Program?,Yes,,,
SIG Lite,Lite,Business Resiliency,Are there any dependencies on critical third party service providers?,Yes,,,
SIG Lite,Lite,Business Resiliency,"Is there a formal, documented exercise and testing program in place?",Yes,,,
SIG Lite,Lite,Business Resiliency,Is there an Influenza Pandemic / Infectious Disease Outbreak Plan?,No,Prognos staff all have the capability to work remotely,,
SIG Lite,Lite,Business Resiliency,"Is there a specific Recovery Time Objective (RTO)? If yes, what is it?",Yes,The RTO differs based on business function.  Generally the RTO is 48 hours,,
SIG Lite,Lite,Business Resiliency,"Are all suppliers of critical hardware, network services and facility services involved in annual continuity and recovery tests?",Yes,,,
SIG Lite,Lite,Business Resiliency,Are site failover tests performed at least annually?,Yes,,,
SIG Lite,Lite,Business Resiliency,Do contracts with Critical Service Providers include a penalty or remediation clause for breach of availability and continuity SLAs?,Yes,,,
SIG Lite,Lite,Business Resiliency,Is there sufficient redundancy capacity to ensure services are not impacted in multi-tenancy environments during peak usage and above?,Yes,,,
SIG Lite,Lite,Business Resiliency,"Is there an internal audit, risk management, or compliance department, or similar management oversight unit with responsibility for assessing, identifying and tracking resolution of outstanding regulatory issues?",Yes,"There is not a separate department but there are individuals with responsibility for audit, risk management, and compliance",,
SIG Lite,Lite,Business Resiliency,"Are there policies and procedures to ensure compliance with applicable legislative, regulatory and contractual requirements including intellectual property rights on business processes or information technology software products?",Yes,,,
SIG Lite,Lite,Business Resiliency,"Is there a records retention policy covering paper and electronic records, including email in support of applicable regulations, standards and contractual requirements?",Yes,,,
SIG Lite,Lite,Business Resiliency,Is licensing maintained in all jurisdictions where required?,Yes,,,
SIG Lite,Lite,Business Resiliency,Is there an documented internal compliance and ethics program to ensure professional ethics and business practices are implemented and maintained?,Yes,,,
SIG Lite,Lite,Business Resiliency,Are marketing or selling activities conducted directly to Client's customers?,No,,,
SIG Lite,Lite,Business Resiliency,Are there direct interactions with your client's customers?,No,,,
SIG Lite,Lite,Business Resiliency,"Are documented policies and procedures maintained for enabling compliance with applicable legal, regulatory, or contractual obligations related to information security requirements?",Yes,,,
SIG Lite,Lite,Business Resiliency,"Is there a documented governance process to identify and assess changes that could significantly affect the system of internal controls for security, confidentiality and availability?",Yes,,,
SIG Lite,Lite,Business Resiliency,"Are accounts opened, transactions initiated or other account initiation activity applying payments, taking payments, transferring funds, etc. through either electronic, telephonic, written or in-person requests made on behalf of your client's?",No,,,
SIG Lite,Lite,Business Resiliency,"Are these sites, applications and systems used to also transmit, process or store non-scoped data?",Yes,,,
SIG Lite,Lite,Business Resiliency,Are all transaction details (such as payment card info and information about the parties conducting transactions) prohibited from being stored in the DMZ?,N/A,Prognos does not conduct transactions on behalf of clients,,
SIG Lite,Lite,Business Resiliency,Does the service provider permit client audits and assessments?,Yes,Upon reasonable notice no more than once per year unless an incident or change in business dictates additional audits and assessments,,
SIG Lite,Lite,Business Resiliency,"Are End User Devices (Desktops, Laptops, Tablets, Smartphones) used for transmitting, processing or storing Scoped Data? If yes, for all platforms, are:",Yes,Laptops are used to access Prognos' virtual clean room.,,
SIG Lite,Lite,Business Resiliency,"Security configuration standards documented? If yes, are:",Yes,We have security configuration mentioned in the System Integrity Procedure ,,
SIG Lite,Lite,Business Resiliency,All available high-risk security patches applied and verified at least monthly on all server platforms?,Yes,Prognos uses a serverless architecture howeever patches applied to all sftp instances are reviewed and audited annualy ,,
SIG Lite,Lite,Business Resiliency,"Sufficient detail contained in Operating System and application logs to support incident investigation, including successful and failed login attempts and changes to sensitive configuration settings and files?",Yes,"EC2 logs for all the VMs are being monitored collected and stored for the Audit Trail feature including the failed login attempts and changes to sensitive configuration files.
For laptops having cleanroom accesss, OS level logs are not captured however we have implemnte preventive controls using OS Query ",,
SIG Lite,Lite,Business Resiliency,"Operating system and application logs relevant to supporting incident investigation protected against modification, deletion, and/or inappropriate access?",Yes,All the virtual machine access logs are backed up by cleardata and archived for future auditability,,
SIG Lite,Lite,Business Resiliency,"Are constituents allowed to utilize mobile devices within your environment? If yes, which of the following functions are allowed:",No,,,
SIG Lite,Lite,Business Resiliency,View Scoped Data?,N/A,,,
SIG Lite,Lite,Business Resiliency,Process Scoped Data?,N/A,,,
SIG Lite,Lite,Business Resiliency,Delete Scoped Data?,N/A,,,
SIG Lite,Lite,Business Resiliency,Store Scoped Data?,N/A,,,
SIG Lite,Lite,Business Resiliency,Is there a mobile device management program in place that has been approved by management and communicated to appropriate constituents?,No,No mobile devices may access Scoped Data or Scoped Systems,,
SIG Lite,Lite,Business Resiliency,Is there a Mobile Device Management solution in place?,No,No mobile devices may access Scoped Data or Scoped Systems,,
SIG Lite,Lite,Business Resiliency,"Is there an approved process for IT to off-board mobile devices when a constituent terminates, or requests to on-board a new mobile device? If yes, does it:",N/A,No mobile devices may access Scoped Data or Scoped Systems,,
SIG Lite,Lite,Business Resiliency,"Are staff technically prevented from accessing the administrative environment via non-managed private devices? If yes, is it from:",Yes,,,
SIG Lite,Lite,Network Security,"Are there external network connections (Internet, extranet, etc.)?",Yes,,,
SIG Lite,Lite,Network Security,"Security and hardening standards for network devices, including Firewalls, Switches, Routers and Wireless Access Points (baseline configuration, patching, passwords, access control)?",Yes,"Multiple layers of hardening standards including IP whitelisting, rigorous access controls, algorithmic determination of bad actors, etc.",,
SIG Lite,Lite,Network Security,Are firewalls used to isolate critical and sensitive systems into network segments separate from network segments with less sensitive systems?,Yes,Prognos leverage AWS serverless architecture and does not have seperate internal company network. All the network devices are managed by Cleardata (HITRUST certified) also the baselining for all the devices is managed by them,,
SIG Lite,Lite,Network Security,"Is there a process that requires security approval to allow external networks to connect to the company network, and enforces the least privilege necessary?",Yes,,,
SIG Lite,Lite,Network Security,Are all available high-risk security patches applied and verified at least monthly?,Yes,,,
SIG Lite,Lite,Network Security,Are Intrusion Detection/Prevention Systems employed in all sensitive network zones and wherever firewalls are enabled?,Yes,,,
SIG Lite,Lite,Network Security,Are wireless networking devices connected to networks containing scoped systems and data?,Yes,,,
SIG Lite,Lite,Network Security,Are there controls to prevent one client attempting to compromise another client in a resource pooled environment?,Yes,,,
SIG Lite,Lite,Privacy,"Is Scoped Data transmitted, processed, or stored that can be classified as non-public information (NPI), personally identifiable information (PII), or sensitive customer financial information? If yes, describe and list types of data.",Yes,Prognos receives PII from clients (in the form of a member roster) and uses that PII to request and analyze PHI for delivery to client,,
SIG Lite,Lite,Privacy,"Do agreements with third parties who have access or potential access to Scoped Data, address confidentiality, audit, security, and privacy, including but not limited to incident response, ongoing monitoring, data sharing and secure disposal of Scoped Data?",Yes,"The only third parties with the capability of accessing data are the vendors that host the data.  AWS and ClearData have entered into contracts, including BAAs with Prognos",,
SIG Lite,Lite,Privacy,Is a business associate contract in place to address obligations for the privacy and security requirements for the services provided?,Yes,,,
SIG Lite,Lite,Privacy,"For Scoped Data, is personal information about individuals transmitted to or received from countries outside the United States? If yes, list the countries.",No,,,
SIG Lite,Lite,Privacy,"Is personal information transmitted, processed, stored, or disclosed to or retained by third parties? If yes, describe.",Yes,Data is hosted by AWS (with a security overlay by ClearData),,
SIG Lite,Lite,Privacy,"Are there contractual controls to ensure that personal information transmitted, processed, stored or disclosed to or retained by third parties is limited to defined parameters for access, use and disclosure? If yes, describe. If no, explain reason.",Yes,Third parties hosting data are contractually prohibited from accessing.  Their sole function is hosting ,,
SIG Lite,Lite,Privacy,"Is personal information accessed, disclosed, processed, transmitted or retained with third parties outside the US? If yes, describe and list the countries.",No,,,
SIG Lite,Lite,Privacy,"Is there a documented privacy policy or procedures for the protection of information transmitted, processed, or maintained on behalf of the client?",Yes,,,
SIG Lite,Lite,Privacy,"Are transactions for covered accounts accessed, modified, or processed, including address changes and discrepancies? If yes, describe.",N/A,No transactions are performed on behalf of client,,
SIG Lite,Lite,Privacy,"Is there an anti-malware policy or program that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy?",Yes,,,
SIG Lite,Lite,Privacy,Prohibition of disabling anti-malware with exceptions requiring Security approval and reenablement as soon as possible.,Yes,,,
SIG Lite,Lite,Privacy,"Is there a vulnerability management policy or program that has been approved by management, communicated to appropriate constituents and an owner assigned to maintain and review the policy?",Yes,,,
SIG Lite,Lite,Privacy,Are vulnerability scans performed on all internet-facing applications at least monthly and after significant changes?,Yes,There are no internet facing applications,,
SIG Lite,Lite,Privacy,Are vulnerability scans performed against internal networks and systems?,Yes,Prognos does not have an internal network.  All corporate communication occurs through SaaS products. Vulnerability scans are performed on all clean room systems.,,
SIG Lite,Lite,Privacy,Are penetration tests performed?,Yes,Prognos does not have an internal network.  All corporate communication happens through SaaS products.  All production environments are pen tested,,
SIG Lite,Lite,Privacy,Are there processes to manage threat and vulnerability assessment tools and the data they collect?,Yes,,,
SIG Lite,Lite,Server Security,"Are Servers used for transmitting, processing or storing Scoped Data?",Yes,Cleardata (HITRUST Certified) uses sFTP virtual instances to transmit and store scoped data,,
SIG Lite,Lite,Server Security,Are systems and applications patched?,Yes,The systems and applications are patched and are audited monthly for HIPAA compliance ,,
SIG Lite,Lite,Server Security,Are default hardened base virtual images applied to virtualized operating systems?,Yes,,,
SIG Lite,Lite,Server Security,"Are Hypervisors used to manage systems used to transmit, process or store Scoped Data?",No,We do not have any control over cloud resources at that level.,,
